fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
ALBUSKJELL,7.35,15.53,0.99,0.00,24.76,0.00,0.00,0.00,0.00,0.00,31.12.2021,43437,16.03.2022
ALVE,2.58,10.47,1.60,0.00,16.09,0.41,2.55,0.35,0.00,3.63,31.12.2021,4444332,16.03.2022
ALVHEIM,59.62,15.52,0.00,0.00,75.14,12.37,8.40,0.00,0.00,20.77,31.12.2021,2845712,16.03.2022
ATLA,0.41,1.48,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,31.12.2021,21106284,16.03.2022
BALDER,106.94,3.20,0.00,0.00,110.14,34.04,1.25,0.00,0.00,35.29,31.12.2021,43562,16.03.2022
BAUGE,5.63,1.11,0.58,0.00,7.84,5.63,1.11,0.58,0.00,7.84,31.12.2021,29446221,16.03.2022
BLANE,0.89,0.00,0.00,0.00,0.89,0.07,0.00,0.00,0.00,0.07,31.12.2021,3437650,16.03.2022
BRAGE,62.43,4.47,1.48,0.00,69.71,2.26,0.33,0.09,0.00,2.76,31.12.2021,43651,16.03.2022
BREIDABLIKK,30.46,0.00,0.00,0.00,30.46,30.46,0.00,0.00,0.00,30.46,31.12.2021,38702206,16.03.2022
BRYNHILD,0.49,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,31.12.2021,21123063,16.03.2022
BYRDING,1.01,0.81,0.08,0.00,1.97,0.17,0.37,0.04,0.00,0.62,31.12.2021,28975067,16.03.2022
BØYLA,2.55,0.26,0.00,0.00,2.81,0.36,0.04,0.00,0.00,0.40,31.12.2021,22492497,16.03.2022
COD,2.88,7.28,0.52,0.00,11.15,0.00,0.00,0.00,0.00,0.00,31.12.2021,43785,16.03.2022
DRAUGEN,151.92,2.98,2.86,0.00,160.33,8.26,1.31,0.21,0.00,9.97,31.12.2021,43758,16.03.2022
DUVA,3.61,6.35,0.78,0.00,11.44,3.10,6.28,0.77,0.00,10.84,31.12.2021,34833026,16.03.2022
DVALIN,0.42,17.95,0.23,0.00,18.81,0.42,17.94,0.23,0.00,18.80,31.12.2021,29393934,16.03.2022
EDDA,4.82,1.98,0.21,0.00,7.20,0.00,0.00,0.00,0.00,0.00,31.12.2021,43541,16.03.2022
EDVARD GRIEG,52.76,4.99,1.42,0.00,60.45,22.43,2.20,0.64,0.00,25.85,31.12.2021,21675433,16.03.2022
EKOFISK,536.01,152.87,15.79,0.00,718.88,43.05,3.76,0.87,0.00,48.46,31.12.2021,43506,16.03.2022
ELDFISK,138.61,44.04,5.04,0.00,192.23,16.79,1.95,0.45,0.00,19.60,31.12.2021,43527,16.03.2022
EMBLA,12.35,5.49,0.64,0.00,19.06,0.44,0.41,0.05,0.00,0.95,31.12.2021,43534,16.03.2022
ENOCH,0.39,0.00,0.00,0.00,0.39,0.03,0.00,0.00,0.00,0.03,31.12.2021,3437659,16.03.2022
FENJA,6.85,2.13,0.36,0.00,9.66,6.85,2.13,0.36,0.00,9.66,31.12.2021,31164879,16.03.2022
FLYNDRE,0.10,0.00,0.00,0.00,0.10,0.03,0.00,0.00,0.00,0.03,31.12.2021,24635035,16.03.2022
FRAM,42.94,17.87,1.76,0.00,64.15,3.33,8.51,0.87,0.00,13.49,31.12.2021,1578840,16.03.2022
FRAM H-NORD,0.69,0.00,0.00,0.00,0.69,0.08,0.00,0.00,0.00,0.08,31.12.2021,23410947,16.03.2022
FRIGG,0.00,116.20,0.00,0.46,116.66,0.00,0.00,0.00,0.00,0.00,31.12.2021,43555,16.03.2022
FRØY,5.55,1.61,0.00,0.11,7.27,0.00,0.00,0.00,0.00,0.00,31.12.2021,43597,16.03.2022
GAUPE,0.23,0.46,0.03,0.02,0.77,0.00,0.00,0.00,0.00,0.00,31.12.2021,18161341,16.03.2022
GIMLE,3.23,1.26,0.31,0.00,5.08,0.29,0.33,0.12,0.00,0.85,31.12.2021,4005142,16.03.2022
GINA KROG,12.05,14.12,1.64,0.00,29.29,5.27,11.68,1.01,0.00,18.87,31.12.2021,23384544,16.03.2022
GJØA,15.25,41.54,10.08,0.00,75.94,0.69,6.31,1.42,0.00,9.70,31.12.2021,4467574,16.03.2022
GLITNE,8.88,0.00,0.00,0.00,8.88,0.00,0.00,0.00,0.00,0.00,31.12.2021,1272071,16.03.2022
GOLIAT,31.36,0.00,0.00,0.00,31.36,15.54,0.00,0.00,0.00,15.54,31.12.2021,5774394,16.03.2022
GRANE,151.29,0.00,0.00,0.00,151.29,20.15,0.00,0.00,0.00,20.15,31.12.2021,1035937,16.03.2022
GUDRUN,26.88,19.09,2.38,0.00,50.49,9.09,7.44,0.89,0.00,18.22,31.12.2021,18116481,16.03.2022
GULLFAKS,388.21,23.08,2.83,0.00,416.67,14.30,0.00,0.00,0.00,14.30,31.12.2021,43686,16.03.2022
GULLFAKS SØR,63.51,94.28,12.27,0.00,181.10,6.58,20.09,2.62,0.00,31.65,31.12.2021,43699,16.03.2022
GUNGNE,0.34,16.26,2.20,4.47,25.25,0.07,0.34,0.03,0.00,0.47,31.12.2021,43464,16.03.2022
GYDA,36.27,6.20,1.91,0.00,46.10,0.00,0.00,0.00,0.00,0.00,31.12.2021,43492,16.03.2022
HANZ,2.46,0.53,0.10,0.00,3.18,2.46,0.53,0.10,0.00,3.18,31.12.2021,25307278,16.03.2022
HEIDRUN,204.96,49.04,2.20,0.00,258.18,35.34,24.05,1.31,0.00,61.88,31.12.2021,43771,16.03.2022
HEIMDAL,6.66,46.20,0.00,0.00,52.86,0.00,0.00,0.00,0.00,0.00,31.12.2021,43590,16.03.2022
HOD,15.25,2.61,0.59,0.00,18.98,5.50,0.91,0.13,0.00,6.66,31.12.2021,43485,16.03.2022
HULDRA,5.21,17.24,0.11,0.00,22.66,0.00,0.00,0.00,0.00,0.00,31.12.2021,97002,16.03.2022
HYME,3.22,0.82,0.31,0.00,4.63,1.31,0.57,0.20,0.00,2.26,31.12.2021,20474183,16.03.2022
ISLAY,0.01,0.09,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,31.12.2021,21105675,16.03.2022
IVAR AASEN,22.43,4.46,0.75,0.00,28.32,9.30,1.93,0.33,0.00,11.86,31.12.2021,23384520,16.03.2022
JETTE,0.43,0.01,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,31.12.2021,21613906,16.03.2022
JOHAN CASTBERG,88.90,0.00,0.00,0.00,88.90,88.90,0.00,0.00,0.00,88.90,31.12.2021,32017325,16.03.2022
JOHAN SVERDRUP,403.72,10.67,5.22,0.00,424.31,345.90,8.71,4.27,0.00,362.72,31.12.2021,26376286,16.03.2022
JOTUN,23.14,0.88,0.00,0.00,24.02,0.00,0.00,0.00,0.00,0.00,31.12.2021,43604,16.03.2022
KNARR,9.69,0.40,0.64,0.00,11.31,0.14,0.00,0.00,0.00,0.14,31.12.2021,20460988,16.03.2022
KRISTIN,25.48,34.87,7.15,2.10,76.04,3.20,7.43,1.51,0.00,13.50,31.12.2021,1854729,16.03.2022
KVITEBJØRN,32.85,102.36,10.52,0.00,155.20,3.75,17.35,1.39,0.00,23.74,31.12.2021,1036101,16.03.2022
LILLE-FRIGG,1.33,2.19,0.00,0.02,3.54,0.00,0.00,0.00,0.00,0.00,31.12.2021,43583,16.03.2022
MARIA,12.90,1.22,0.78,0.00,15.60,9.22,0.89,0.56,0.00,11.17,31.12.2021,26465170,16.03.2022
MARTIN LINGE,10.86,26.50,2.16,0.00,41.46,9.98,25.54,2.08,0.00,39.47,31.12.2021,21675447,16.03.2022
MARULK,0.67,8.46,0.77,0.00,10.59,0.07,1.16,0.10,0.00,1.42,31.12.2021,18212090,16.03.2022
MIKKEL,6.10,32.70,8.56,2.25,57.31,0.83,4.63,1.08,0.00,7.51,31.12.2021,1630514,16.03.2022
MIME,0.37,0.08,0.01,0.00,0.47,0.00,0.00,0.00,0.00,0.00,31.12.2021,43792,16.03.2022
MORVIN,9.19,4.43,1.15,0.00,15.81,0.48,0.32,0.08,0.00,0.95,31.12.2021,4966234,16.03.2022
MURCHISON,13.86,0.35,0.32,0.00,14.82,0.00,0.00,0.00,0.00,0.00,31.12.2021,43665,16.03.2022
NJORD,31.66,23.68,6.24,0.00,67.20,5.00,13.55,3.86,0.00,25.88,31.12.2021,43751,16.03.2022
NORDØST FRIGG,0.00,11.59,0.00,0.08,11.67,0.00,0.00,0.00,0.00,0.00,31.12.2021,43568,16.03.2022
NORNE,95.19,12.85,1.61,0.00,111.10,3.02,3.16,0.42,0.00,6.98,31.12.2021,43778,16.03.2022
NOVA,10.70,2.48,0.76,0.00,14.62,10.70,2.48,0.76,0.00,14.62,31.12.2021,33197696,16.03.2022
ODA,4.63,0.17,0.08,0.00,4.95,2.14,0.03,0.04,0.00,2.25,31.12.2021,29412516,16.03.2022
ODIN,0.00,27.26,0.00,0.22,27.48,0.00,0.00,0.00,0.00,0.00,31.12.2021,43610,16.03.2022
ORMEN LANGE,0.00,346.55,0.00,19.86,366.41,0.00,104.52,0.00,3.46,107.98,31.12.2021,2762452,16.03.2022
OSEBERG,405.97,129.41,16.71,0.00,567.13,13.81,64.42,4.36,0.00,86.51,31.12.2021,43625,16.03.2022
OSEBERG SØR,69.00,27.74,2.49,0.00,101.47,10.65,15.04,0.96,0.00,27.51,31.12.2021,43645,16.03.2022
OSEBERG ØST,24.34,0.37,0.10,0.00,24.90,1.29,0.01,0.02,0.00,1.34,31.12.2021,43639,16.03.2022
OSELVAR,0.68,0.40,0.02,0.00,1.12,0.00,0.00,0.00,0.00,0.00,31.12.2021,5506919,16.03.2022
REV,0.77,2.73,0.05,0.07,3.67,0.01,0.02,0.00,0.00,0.03,31.12.2021,4467554,16.03.2022
RINGHORNE ØST,14.71,0.24,0.00,0.00,14.95,1.52,0.00,0.00,0.00,1.52,31.12.2021,3505505,16.03.2022
SIGYN,1.67,7.25,2.95,6.06,20.59,0.70,0.11,0.15,0.00,1.10,31.12.2021,1630100,16.03.2022
SINDRE,0.10,0.07,0.01,0.00,0.19,0.08,0.06,0.02,0.00,0.18,31.12.2021,29401178,16.03.2022
SKARV,25.05,68.32,8.40,0.00,109.33,7.04,34.97,3.87,0.00,49.36,31.12.2021,4704482,16.03.2022
SKIRNE,2.39,10.59,0.00,0.00,12.98,0.01,0.07,0.00,0.00,0.08,31.12.2021,2138816,16.03.2022
SKOGUL,1.70,0.14,0.00,0.00,1.84,0.71,0.03,0.00,0.00,0.74,31.12.2021,31164600,16.03.2022
SKULD,6.71,0.43,0.06,0.00,7.25,2.06,0.07,0.01,0.00,2.15,31.12.2021,21350124,16.03.2022
SLEIPNER VEST,6.23,151.49,10.79,29.74,207.96,1.27,6.76,0.51,0.00,9.00,31.12.2021,43457,16.03.2022
SLEIPNER ØST,0.39,70.09,13.52,26.62,122.79,0.03,1.00,0.12,0.00,1.26,31.12.2021,43478,16.03.2022
SNORRE,305.21,6.65,4.76,0.00,320.90,73.80,0.00,0.00,0.00,73.80,31.12.2021,43718,16.03.2022
SNØHVIT,0.00,211.84,8.31,23.75,251.38,0.00,148.06,5.19,14.88,172.80,31.12.2021,2053062,16.03.2022
SOLVEIG,6.96,1.46,0.42,0.00,9.22,6.85,1.40,0.41,0.00,9.03,31.12.2021,34833011,16.03.2022
STATFJORD,582.74,87.01,24.24,0.93,716.74,5.49,7.32,2.19,0.00,16.97,31.12.2021,43658,16.03.2022
STATFJORD NORD,43.73,2.32,1.14,0.00,48.22,4.30,0.24,0.08,0.00,4.69,31.12.2021,43679,16.03.2022
STATFJORD ØST,40.59,5.48,2.44,0.00,50.71,3.16,0.96,0.31,0.00,4.71,31.12.2021,43672,16.03.2022
SVALIN,9.93,0.00,0.00,0.00,9.93,2.77,0.00,0.00,0.00,2.77,31.12.2021,22507971,16.03.2022
SYGNA,11.52,0.00,0.00,0.00,11.52,0.54,0.00,0.00,0.00,0.54,31.12.2021,104718,16.03.2022
TAMBAR,12.28,2.68,0.28,0.00,15.49,0.87,0.20,0.02,0.00,1.11,31.12.2021,1028599,16.03.2022
TAMBAR ØST,0.38,0.03,0.01,0.00,0.43,0.07,0.00,0.00,0.00,0.07,31.12.2021,4999528,16.03.2022
TOMMELITEN GAMMA,3.87,9.69,0.57,0.00,14.64,0.00,0.00,0.00,0.00,0.00,31.12.2021,43444,16.03.2022
TOR,31.70,11.64,1.35,0.00,45.91,6.43,0.70,0.14,0.00,7.40,31.12.2021,43520,16.03.2022
TORDIS,68.18,4.87,1.85,0.00,76.57,4.73,0.19,0.08,0.00,5.07,31.12.2021,43725,16.03.2022
TRESTAKK,6.19,1.08,0.22,0.00,7.69,3.68,1.08,0.22,0.00,5.18,31.12.2021,29396445,16.03.2022
TROLL,293.01,1436.97,20.70,1.52,1770.83,6.10,684.87,8.45,0.00,707.03,31.12.2021,46437,16.03.2022
TRYM,1.76,4.31,0.00,0.00,6.07,0.08,0.59,0.00,0.00,0.67,31.12.2021,18081500,16.03.2022
TUNE,3.45,18.80,0.13,0.00,22.50,0.01,0.14,0.00,0.00,0.15,31.12.2021,853376,16.03.2022
TYRIHANS,34.87,45.83,7.46,0.00,94.87,2.60,25.17,3.75,0.00,34.90,31.12.2021,3960848,16.03.2022
ULA,80.61,3.85,3.16,0.00,90.46,4.15,0.00,0.17,0.00,4.47,31.12.2021,43800,16.03.2022
URD,9.01,0.37,0.04,0.00,9.46,1.53,0.09,0.00,0.00,1.62,31.12.2021,2834734,16.03.2022
UTGARD,0.67,0.69,0.13,0.00,1.61,0.00,0.00,0.00,0.00,0.00,31.12.2021,28975098,16.03.2022
VALE,2.77,2.78,0.00,0.00,5.55,0.16,0.27,0.00,0.00,0.43,31.12.2021,1578893,16.03.2022
VALEMON,2.63,18.51,0.14,0.00,21.41,0.96,5.99,0.03,0.00,7.01,31.12.2021,20460969,16.03.2022
VALHALL,154.83,29.40,5.77,0.00,195.19,32.21,5.67,0.80,0.00,39.40,31.12.2021,43548,16.03.2022
VARG,16.33,0.30,0.02,0.02,16.69,0.00,0.00,0.00,0.00,0.00,31.12.2021,43451,16.03.2022
VEGA,10.70,25.79,6.98,0.00,49.75,2.72,10.59,2.65,0.00,18.35,31.12.2021,4467595,16.03.2022
VESLEFRIKK,55.39,5.39,1.81,0.00,64.22,0.00,0.01,0.00,0.00,0.01,31.12.2021,43618,16.03.2022
VEST EKOFISK,12.15,25.97,1.43,0.00,40.84,0.00,0.00,0.00,0.00,0.00,31.12.2021,43513,16.03.2022
VIGDIS,75.61,1.71,1.39,0.00,79.96,9.96,0.00,0.00,0.00,9.96,31.12.2021,43732,16.03.2022
VILJE,15.60,0.00,0.00,0.00,15.60,2.27,0.00,0.00,0.00,2.27,31.12.2021,3392471,16.03.2022
VISUND,41.63,61.54,7.45,0.00,117.33,4.34,28.24,3.45,0.00,39.14,31.12.2021,43745,16.03.2022
VISUND SØR,2.89,5.66,0.79,0.00,10.05,0.27,0.35,0.05,0.00,0.72,31.12.2021,20461008,16.03.2022
VOLUND,12.76,1.58,0.00,0.00,14.34,1.18,0.15,0.00,0.00,1.33,31.12.2021,4380167,16.03.2022
VOLVE,10.17,0.81,0.16,0.09,11.37,0.00,0.00,0.00,0.00,0.00,31.12.2021,3420717,16.03.2022
YME,17.64,0.00,0.00,0.00,17.64,9.70,0.00,0.00,0.00,9.70,31.12.2021,43807,16.03.2022
YTTERGRYTA,0.29,1.81,0.34,0.00,2.75,0.00,0.00,0.00,0.00,0.00,31.12.2021,4973114,16.03.2022
ÆRFUGL NORD,0.23,2.40,0.26,0.00,3.12,0.22,2.28,0.25,0.00,2.98,31.12.2021,38542241,16.03.2022
ØST FRIGG,0.00,9.22,0.00,0.07,9.29,0.00,0.00,0.00,0.00,0.00,31.12.2021,43576,16.03.2022
ÅSGARD,108.33,234.31,43.71,17.11,442.80,6.24,30.28,5.48,0.00,46.93,31.12.2021,43765,16.03.2022
AASTA HANSTEEN,0.00,57.99,0.00,0.63,58.62,0.00,33.61,0.00,0.29,33.90,31.12.2021,23395946,16.03.2022

